chr	tss	strand	gene_name	gene_id
chr7	87600884	-	ABCB1	ABCB1
chr1	229558707	-	ABCB10	ABCB10
chr2	169031324	-	ABCB11	ABCB11
chr7	87475680	-	ABCB4	ABCB4
chr7	20615666	+	ABCB5	ABCB5
chr2	219218958	-	ABCB6	ABCB6
chrX	75156283	-	ABCB7	ABCB7
chr7	151028421	+	ABCB8	ABCB8
chr12	122966463	-	ABCB9	ABCB9
chr16	15949615	+	ABCC1	ABCC1
chr6	43427540	+	ABCC10	ABCC10
chr16	48232271	-	ABCC11	ABCC11
chr16	48146770	-	ABCC12	ABCC12
chr21	14273798	+	ABCC13	ABCC13
chr10	99782639	+	ABCC2	ABCC2
chr17	50634880	+	ABCC3	ABCC3
chr13	95301451	-	ABCC4	ABCC4
chr3	184017884	-	ABCC5	ABCC5
chr3	184006337	+	ABCC5-AS1	ABCC5-AS1
chr16	16223471	-	ABCC6	ABCC6
chr16	18571247	+	ABCC6P1	ABCC6P1
chr16	14824702	-	ABCC6P2	ABCC6P2
chr11	17476845	-	ABCC8	ABCC8
chr12	21941426	-	ABCC9	ABCC9
chrX	153724855	+	ABCD1	ABCD1
chr12	39619803	-	ABCD2	ABCD2
chr1	94418376	+	ABCD3	ABCD3
chr14	74302934	-	ABCD4	ABCD4
chr4	145098310	+	ABCE1	ABCE1
chr6	30571441	+	ABCF1	ABCF1
chr7	151227205	-	ABCF2	ABCF2
chr7	151227205	-	ABCF2-H2BE1	ABCF2-H2BE1
chr3	184186074	+	ABCF3	ABCF3
chr21	42199688	+	ABCG1	ABCG1
chr4	88158639	-	ABCG2	ABCG2
chr11	119149051	+	ABCG4	ABCG4
chr2	43838839	-	ABCG5	ABCG5
chr2	43838970	+	ABCG8	ABCG8
chr2	27123814	+	ABHD1	ABHD1
chr3	111979025	+	ABHD10	ABHD10
chr7	73738867	-	ABHD11	ABHD11
chr7	73735068	+	ABHD11-AS1	ABHD11-AS1
chr20	25390835	-	ABHD12	ABHD12
chr14	50872052	+	ABHD12B	ABHD12B
chr13	108218391	+	ABHD13	ABHD13
chr3	51975063	+	ABHD14A	ABHD14A
chr3	51975063	+	ABHD14A-ACY1	ABHD14A-ACY1
chr3	51974630	-	ABHD14B	ABHD14B
chr17	29567037	-	ABHD15	ABHD15
chr6	31702958	-	ABHD16A	ABHD16A
chr20	63861497	+	ABHD16B	ABHD16B
chr19	1885496	-	ABHD17A	ABHD17A
chr9	71911193	-	ABHD17B	ABHD17B
chr15	80695309	+	ABHD17C	ABHD17C
chr4	127965405	+	ABHD18	ABHD18
chr15	89088455	+	ABHD2	ABHD2
chr18	21664214	-	ABHD3	ABHD3
chr14	22598237	+	ABHD4	ABHD4
chr3	43690869	+	ABHD5	ABHD5
chr3	58237501	+	ABHD6	ABHD6
chr19	17303425	-	ABHD8	ABHD8
chr10	26860958	-	ABI1	ABI1
chr2	203328393	+	ABI2	ABI2
chr17	49210226	+	ABI3	ABI3
chr3	100993421	-	ABI3BP	ABI3BP
chr9	108934399	+	ABITRAM	ABITRAM
chr9	130713880	+	ABL1	ABL1
chr1	179143076	-	ABL2	ABL2
chr10	114526913	-	ABLIM1	ABLIM1
chr4	8071988	-	ABLIM2	ABLIM2
chr5	149141446	+	ABLIM3	ABLIM3
chr9	133275201	-	ABO	ABO
chr17	1031831	-	ABR	ABR
chr8	106770244	-	ABRA	ABRA
chr6	139028744	+	ABRACL	ABRACL
chr4	83485100	-	ABRAXAS1	ABRAXAS1
chr10	124801818	+	ABRAXAS2	ABRAXAS2
chr6	26596952	+	ABT1	ABT1
chr3	127672937	+	ABTB1	ABTB1
chr11	34358010	-	ABTB2	ABTB2
chr3	38137127	-	ACAA1	ACAA1
chr18	49813533	-	ACAA2	ACAA2
chr17	37299767	-	ACACA	ACACA
chr12	109116586	+	ACACB	ACACB
chr12	111686052	+	ACAD10	ACAD10
chr3	132659809	-	ACAD11	ACAD11
chr11	134253567	+	ACAD8	ACAD8
chr3	128879489	+	ACAD9	ACAD9
chr2	210225447	-	ACADL	ACADL
chr1	75724346	+	ACADM	ACADM
chr12	120725825	+	ACADS	ACADS
chr10	123009005	+	ACADSB	ACADSB
chr17	7217124	+	ACADVL	ACADVL
chr15	88803435	+	ACAN	ACAN
chr17	7336528	+	ACAP1	ACAP1
chr3	195443020	-	ACAP2	ACAP2
chr1	1307930	-	ACAP3	ACAP3
chr11	108121566	+	ACAT1	ACAT1
chr6	159762044	+	ACAT2	ACAT2
chr1	226186741	-	ACBD3	ACBD3
chr1	226148002	+	ACBD3-AS1	ACBD3-AS1
chr17	45132618	+	ACBD4	ACBD4
chr10	27240486	-	ACBD5	ACBD5
chr1	180502577	-	ACBD6	ACBD6
chr10	15088776	-	ACBD7	ACBD7
chr10	15088776	-	ACBD7-DCLRE1CP1	ACBD7-DCLRE1CP1
chr11	44066269	+	ACCS	ACCS
chr11	44047980	+	ACCSL	ACCSL
chr16	67660260	-	ACD	ACD
chr17	63477060	+	ACE	ACE
chrX	15600960	-	ACE2	ACE2
chr19	6333612	-	ACER1	ACER1
chr9	19409008	+	ACER2	ACER2
chr11	76860917	+	ACER3	ACER3
chr7	100894606	-	ACHE	ACHE
chr14	23071569	-	ACIN1	ACIN1
chr1	159204874	+	ACKR1	ACKR1
chr3	42809444	+	ACKR2	ACKR2
chr2	236569824	+	ACKR3	ACKR3
chr3	132597269	+	ACKR4	ACKR4
chr17	41918951	-	ACLY	ACLY
chr2	134838615	+	ACMSD	ACMSD
chr9	32384602	+	ACO1	ACO1
chr22	41469116	+	ACO2	ACO2
chr13	76948510	+	ACOD1	ACOD1
chr14	73537142	+	ACOT1	ACOT1
chr1	54548227	+	ACOT11	ACOT11
chr5	81394134	-	ACOT12	ACOT12
chr6	24667034	+	ACOT13	ACOT13
chr14	73567619	+	ACOT2	ACOT2
chr14	73591705	+	ACOT4	ACOT4
chr14	73610944	+	ACOT6	ACOT6
chr1	6358929	-	ACOT7	ACOT7
chr20	45857392	-	ACOT8	ACOT8
chrX	23743276	-	ACOT9	ACOT9
chr17	75979166	-	ACOX1	ACOX1
chr3	58537190	-	ACOX2	ACOX2
chr4	8428448	-	ACOX3	ACOX3
chr2	110732572	+	ACOXL	ACOXL
chr2	111115588	-	ACOXL-AS1	ACOXL-AS1
chr2	264868	+	ACP1	ACP1
chr11	47248628	-	ACP2	ACP2
chr3	132317406	+	ACP3	ACP3
chr19	50790414	+	ACP4	ACP4
chr19	11577645	-	ACP5	ACP5
chr1	147670524	-	ACP6	ACP6
chr19	39084367	+	ACP7	ACP7
chr22	50738203	+	ACR	ACR
chr12	6647432	-	ACRBP	ACRBP
chr11	125680847	-	ACRV1	ACRV1
chr15	78234565	-	ACSBG1	ACSBG1
chr19	6135632	+	ACSBG2	ACSBG2
chr17	50426157	+	ACSF2	ACSF2
chr16	89093851	+	ACSF3	ACSF3
chr4	184805553	-	ACSL1	ACSL1
chr2	222861035	+	ACSL3	ACSL3
chrX	109733257	-	ACSL4	ACSL4
chr10	112374115	+	ACSL5	ACSL5
chr5	132011658	-	ACSL6	ACSL6
chr16	20691256	-	ACSM1	ACSM1
chr16	20451520	+	ACSM2A	ACSM2A
chr16	20576367	-	ACSM2B	ACSM2B
chr16	20763989	+	ACSM3	ACSM3
chr12	7304331	+	ACSM4	ACSM4
chr16	20409533	+	ACSM5	ACSM5
chr10	95194199	+	ACSM6	ACSM6
chr20	25032706	-	ACSS1	ACSS1
chr20	34874962	+	ACSS2	ACSS2
chr12	81078078	+	ACSS3	ACSS3
chr1	229434094	-	ACTA1	ACTA1
chr10	88952773	-	ACTA2	ACTA2
chr10	88932683	+	ACTA2-AS1	ACTA2-AS1
chr7	5530601	-	ACTB	ACTB
chr5	57482811	-	ACTBL2	ACTBL2
chr15	34795549	-	ACTC1	ACTC1
chr11	71423354	-	ACTE1P	ACTE1P
chr17	81512799	-	ACTG1	ACTG1
chr15	82739780	-	ACTG1P17	ACTG1P17
chr1	27323873	+	ACTG1P20	ACTG1P20
chr1	202861753	+	ACTG1P25	ACTG1P25
chr1	103569403	+	ACTG1P4	ACTG1P4
chr2	73893007	+	ACTG2	ACTG2
chr20	33666942	+	ACTL10	ACTL10
chr3	179562879	+	ACTL6A	ACTL6A
chr7	100656448	-	ACTL6B	ACTL6B
chr9	108862265	+	ACTL7A	ACTL7A
chr9	108855986	-	ACTL7B	ACTL7B
chr1	17755332	+	ACTL8	ACTL8
chr19	8698795	-	ACTL9	ACTL9
chr14	68979302	-	ACTN1	ACTN1
chr14	68979681	+	ACTN1-AS1	ACTN1-AS1
chr1	236686453	+	ACTN2	ACTN2
chr11	66546394	+	ACTN3	ACTN3
chr19	38647648	+	ACTN4	ACTN4
chr14	58200148	+	ACTR10	ACTR10
chr10	102502712	-	ACTR1A	ACTR1A
chr2	97664044	-	ACTR1B	ACTR1B
chr2	65227694	+	ACTR2	ACTR2
chr2	113889933	+	ACTR3	ACTR3
chr2	113890992	-	ACTR3-AS1	ACTR3-AS1
chr7	152759748	+	ACTR3B	ACTR3B
chr2	91941132	+	ACTR3BP2	ACTR3BP2
chr10	38696595	+	ACTR3BP5	ACTR3BP5
chr7	150047715	-	ACTR3C	ACTR3C
chr20	38748459	+	ACTR5	ACTR5
chr12	100200086	+	ACTR6	ACTR6
chr3	53882152	-	ACTR8	ACTR8
chrX	128052403	-	ACTRT1	ACTRT1
chr1	3021466	+	ACTRT2	ACTRT2
chr3	169769561	-	ACTRT3	ACTRT3
chr2	157838630	-	ACVR1	ACVR1
chr12	51951698	+	ACVR1B	ACVR1B
chr2	157597560	-	ACVR1C	ACVR1C
chr2	147844516	+	ACVR2A	ACVR2A
chr3	38453889	+	ACVR2B	ACVR2B
chr3	38454820	-	ACVR2B-AS1	ACVR2B-AS1
chr12	51907503	+	ACVRL1	ACVRL1
chr3	51983534	+	ACY1	ACY1
chr11	67650730	-	ACY3	ACY3
chr14	75064024	-	ACYP1	ACYP1
chr2	53971112	+	ACYP2	ACYP2
chr20	44651699	-	ADA	ADA
chr22	17199655	-	ADA2	ADA2
chr4	122379010	+	ADAD1	ADAD1
chr16	84191156	+	ADAD2	ADAD2
chr15	43330350	+	ADAL	ADAL
chr15	58749707	-	ADAM10	ADAM10
chr17	44758987	+	ADAM11	ADAM11
chr10	126388477	-	ADAM12	ADAM12
chr1	155051315	+	ADAM15	ADAM15
chr2	9555830	-	ADAM17	ADAM17
chr8	39584567	+	ADAM18	ADAM18
chr5	157575775	-	ADAM19	ADAM19
chr8	39838227	-	ADAM2	ADAM2
chr14	70535004	-	ADAM20	ADAM20
chr14	70483756	-	ADAM20P1	ADAM20P1
chr14	70452173	+	ADAM21	ADAM21
chr14	70247801	-	ADAM21P1	ADAM21P1
chr7	87934142	+	ADAM22	ADAM22
chr2	206443531	+	ADAM23	ADAM23
chr8	24294039	+	ADAM28	ADAM28
chr4	174918357	+	ADAM29	ADAM29
chr1	119896515	-	ADAM30	ADAM30
chr8	39107528	+	ADAM32	ADAM32
chr20	3682010	-	ADAM33	ADAM33
chr8	39522989	-	ADAM3A	ADAM3A
chr16	49518585	-	ADAM3B	ADAM3B
chr8	39314662	+	ADAM5	ADAM5
chr14	105972269	-	ADAM6	ADAM6
chr8	24441025	+	ADAM7	ADAM7
chr10	133276868	-	ADAM8	ADAM8
chr8	38996972	+	ADAM9	ADAM9
chr8	24384284	+	ADAMDEC1	ADAMDEC1
chr21	26845409	-	ADAMTS1	ADAMTS1
chr19	8592196	-	ADAMTS10	ADAMTS10
chr5	33891990	-	ADAMTS12	ADAMTS12
chr9	133414336	+	ADAMTS13	ADAMTS13
chr10	70672505	+	ADAMTS14	ADAMTS14
chr11	130448973	+	ADAMTS15	ADAMTS15
chr5	5140329	+	ADAMTS16	ADAMTS16
chr15	100341975	-	ADAMTS17	ADAMTS17
chr16	77435034	-	ADAMTS18	ADAMTS18
chr5	129460297	+	ADAMTS19	ADAMTS19
chr5	129460689	-	ADAMTS19-AS1	ADAMTS19-AS1
chr5	179345461	-	ADAMTS2	ADAMTS2
chr12	43552203	-	ADAMTS20	ADAMTS20
chr4	72569221	-	ADAMTS3	ADAMTS3
chr1	161199054	-	ADAMTS4	ADAMTS4
chr21	26967088	-	ADAMTS5	ADAMTS5
chr5	65481920	-	ADAMTS6	ADAMTS6
chr15	78811464	-	ADAMTS7	ADAMTS7
chr15	82293282	+	ADAMTS7P1	ADAMTS7P1
chr11	130428609	-	ADAMTS8	ADAMTS8
chr3	64688000	-	ADAMTS9	ADAMTS9
chr3	64561345	+	ADAMTS9-AS1	ADAMTS9-AS1
chr3	64684869	+	ADAMTS9-AS2	ADAMTS9-AS2
chr9	18474152	+	ADAMTSL1	ADAMTSL1
chr9	133532163	+	ADAMTSL2	ADAMTSL2
chr15	83654122	+	ADAMTSL3	ADAMTSL3
chr1	150549407	+	ADAMTSL4	ADAMTSL4
chr1	150574552	-	ADAMTSL4-AS1	ADAMTSL4-AS1
chr19	1513019	-	ADAMTSL5	ADAMTSL5
chr7	920889	-	ADAP1	ADAP1
chr17	30921735	+	ADAP2	ADAP2
chr1	154606253	-	ADAR	ADAR
chr21	45074577	+	ADARB1	ADARB1
chr10	1737525	-	ADARB2	ADARB2
chr10	1526629	+	ADARB2-AS1	ADARB2-AS1
chr16	75623281	-	ADAT1	ADAT1
chr6	143442677	-	ADAT2	ADAT2
chr19	1905398	+	ADAT3	ADAT3
chr14	77800108	+	ADCK1	ADCK1
chr7	140672944	+	ADCK2	ADCK2
chr8	144374046	+	ADCK5	ADCK5
chr7	45574139	+	ADCY1	ADCY1
chr1	167914134	-	ADCY10	ADCY10
chr6	41101033	+	ADCY10P1	ADCY10P1
chr5	7396137	+	ADCY2	ADCY2
chr2	24887182	-	ADCY3	ADCY3
chr14	24335071	-	ADCY4	ADCY4
chr3	123416342	-	ADCY5	ADCY5
chr12	48789089	-	ADCY6	ADCY6
chr12	48789146	+	ADCY6-DT	ADCY6-DT
chr16	50266550	+	ADCY7	ADCY7
chr8	131040909	-	ADCY8	ADCY8
chr16	4116442	-	ADCY9	ADCY9
chr18	904870	+	ADCYAP1	ADCYAP1
chr7	31052307	+	ADCYAP1R1	ADCYAP1R1
chr4	2843843	+	ADD1	ADD1
chr2	70767715	-	ADD2	ADD2
chr10	109996372	+	ADD3	ADD3
chr10	110008381	-	ADD3-AS1	ADD3-AS1
chr6	146598971	+	ADGB	ADGB
chr10	133087923	+	ADGRA1	ADGRA1
chr10	133086697	-	ADGRA1-AS1	ADGRA1-AS1
chr8	37796882	+	ADGRA2	ADGRA2
chr4	22516066	-	ADGRA3	ADGRA3
chr8	142449648	+	ADGRB1	ADGRB1
chr1	31764340	-	ADGRB2	ADGRB2
chr6	68635281	+	ADGRB3	ADGRB3
chr12	130953906	+	ADGRD1	ADGRD1
chr12	130993976	-	ADGRD1-AS1	ADGRD1-AS1
chr19	6887578	+	ADGRE1	ADGRE1
chr19	14776927	-	ADGRE2	ADGRE2
chr19	14674844	-	ADGRE3	ADGRE3
chr19	6990846	-	ADGRE4P	ADGRE4P
chr19	14381143	+	ADGRE5	ADGRE5
chr6	47042332	-	ADGRF1	ADGRF1
chr6	47656471	+	ADGRF2	ADGRF2
chr2	26319049	-	ADGRF3	ADGRF3
chr6	47698579	+	ADGRF4	ADGRF4
chr6	46921938	-	ADGRF5	ADGRF5
chr6	46903470	+	ADGRF5-AS1	ADGRF5-AS1
chr16	57619737	+	ADGRG1	ADGRG1
chrX	19122468	-	ADGRG2	ADGRG2
chr16	57668305	+	ADGRG3	ADGRG3
chrX	136300962	+	ADGRG4	ADGRG4
chr16	57542642	+	ADGRG5	ADGRG5
chr6	142301918	+	ADGRG6	ADGRG6
chr3	100609600	+	ADGRG7	ADGRG7
chr19	14206169	-	ADGRL1	ADGRL1
chr1	81306191	+	ADGRL2	ADGRL2
chr4	61201229	+	ADGRL3	ADGRL3
chr4	62161765	-	ADGRL3-AS1	ADGRL3-AS1
chr1	79006730	-	ADGRL4	ADGRL4
chr5	90558796	+	ADGRV1	ADGRV1
chr4	99290985	-	ADH1A	ADH1A
chr4	99321401	-	ADH1B	ADH1B
chr4	99352746	-	ADH1C	ADH1C
chr4	99144297	-	ADH4	ADH4
chr4	99088788	-	ADH5	ADH5
chr4	99219246	-	ADH6	ADH6
chr4	99435134	-	ADH7	ADH7
chr8	66432503	+	ADHFE1	ADHFE1
chr2	3517747	-	ADI1	ADI1
chr20	38581196	+	ADIG	ADIG
chr3	186842709	+	ADIPOQ	ADIPOQ
chr3	186861368	-	ADIPOQ-AS1	ADIPOQ-AS1
chr1	202957984	-	ADIPOR1	ADIPOR1
chr12	1691069	+	ADIPOR2	ADIPOR2
chr10	86968481	+	ADIRF	ADIRF
chr10	74151220	+	ADK	ADK
chr11	10305072	+	ADM	ADM
chr22	50481542	+	ADM2	ADM2
chr19	49688684	+	ADM5	ADM5
chr20	50909791	-	ADNP	ADNP
chr20	50930983	+	ADNP-AS1	ADNP-AS1
chr18	80109261	+	ADNP2	ADNP2
chr10	62804719	+	ADO	ADO
chr1	203127725	+	ADORA1	ADORA1
chr22	24423596	+	ADORA2A	ADORA2A
chr22	24495074	-	ADORA2A-AS1	ADORA2A-AS1
chr17	15944916	+	ADORA2B	ADORA2B
chr1	111503633	-	ADORA3	ADORA3
chr15	72783758	-	ADPGK	ADPGK
chr15	72782834	+	ADPGK-AS1	ADPGK-AS1
chr3	119579491	+	ADPRH	ADPRH
chr13	113449158	-	ADPRHL1	ADPRHL1
chr17	10697593	+	ADPRM	ADPRM
chr1	36088891	+	ADPRS	ADPRS
chr8	26865655	-	ADRA1A	ADRA1A
chr5	159916481	+	ADRA1B	ADRA1B
chr20	4249287	-	ADRA1D	ADRA1D
chr10	111077028	+	ADRA2A	ADRA2A
chr2	96116571	-	ADRA2B	ADRA2B
chr4	3766384	+	ADRA2C	ADRA2C
chr10	114043865	+	ADRB1	ADRB1
chr5	148826610	+	ADRB2	ADRB2
chr8	37966599	-	ADRB3	ADRB3
chr20	62302895	+	ADRM1	ADRM1
chr22	40346499	+	ADSL	ADSL
chr14	104724228	+	ADSS1	ADSS1
chr1	244451909	-	ADSS2	ADSS2
chr6	11778803	-	ADTRP	ADTRP
chr7	44104344	+	AEBP1	AEBP1
chr12	19439491	+	AEBP2	AEBP2
chr15	88621339	+	AEN	AEN
chr4	7872308	-	AFAP1	AFAP1
chr4	7754089	+	AFAP1-AS1	AFAP1-AS1
chr5	149271837	+	AFAP1L1	AFAP1L1
chr10	114404502	-	AFAP1L2	AFAP1L2
chr6	167826563	+	AFDN	AFDN
chr6	167826796	-	AFDN-DT	AFDN-DT
chr4	86935001	+	AFF1	AFF1
chr4	86934850	-	AFF1-AS1	AFF1-AS1
chrX	148500616	+	AFF2	AFF2
chr2	100105583	-	AFF3	AFF3
chr5	132963634	-	AFF4	AFF4
chr6	108295053	+	AFG1L	AFG1L
chr16	89972579	+	AFG3L1P	AFG3L1P
chr18	12377227	-	AFG3L2	AFG3L2
chr4	73481744	+	AFM	AFM
chr17	78187316	+	AFMID	AFMID
chr4	73436220	+	AFP	AFP
chr2	64524304	+	AFTPH	AFTPH
chr4	177442437	-	AGA	AGA
chr2	235494042	+	AGAP1	AGAP1
chr2	235505750	+	AGAP1-IT1	AGAP1-IT1
chr10	45678515	+	AGAP10P	AGAP10P
chr10	86970335	+	AGAP11	AGAP11
chr10	48031640	-	AGAP12P	AGAP12P
chr10	46816539	+	AGAP13P	AGAP13P
chr10	46337260	+	AGAP14P	AGAP14P
chr12	57738246	-	AGAP2	AGAP2
chr12	57726239	+	AGAP2-AS1	AGAP2-AS1
chr7	151085866	+	AGAP3	AGAP3
chr10	45847473	-	AGAP4	AGAP4
chr10	73701328	-	AGAP5	AGAP5
chr10	49988317	+	AGAP6	AGAP6
chr10	46109494	+	AGAP7P	AGAP7P
chr10	47523638	-	AGAP9	AGAP9
chr15	86079619	+	AGBL1	AGBL1
chr15	86316968	-	AGBL1-AS1	AGBL1-AS1
chr11	47715369	-	AGBL2	AGBL2
chr7	134986507	+	AGBL3	AGBL3
chr1	50023954	-	AGBL4	AGBL4
chr1	49257410	+	AGBL4-AS1	AGBL4-AS1
chr1	49472085	-	AGBL4-IT1	AGBL4-IT1
chr2	27051422	+	AGBL5	AGBL5
chr2	27050264	-	AGBL5-AS1	AGBL5-AS1
chr6	32184253	-	AGER	AGER
chr2	227472155	+	AGFG1	AGFG1
chr7	100539202	+	AGFG2	AGFG2
chr5	77030403	+	AGGF1	AGGF1
chr7	141551409	+	AGK	AGK
chr1	99850360	+	AGL	AGL
chr1	15585051	-	AGMAT	AGMAT
chr7	15562015	-	AGMO	AGMO
chr1	35869807	+	AGO1	AGO1
chr8	140635633	-	AGO2	AGO2
chr1	35931104	+	AGO3	AGO3
chr1	35807635	+	AGO4	AGO4
chr6	32173116	-	AGPAT1	AGPAT1
chr9	136687457	-	AGPAT2	AGPAT2
chr21	43865222	+	AGPAT3	AGPAT3
chr6	161274061	-	AGPAT4	AGPAT4
chr6	161161982	-	AGPAT4-IT1	AGPAT4-IT1
chr8	6708641	+	AGPAT5	AGPAT5
chr2	177392772	+	AGPS	AGPS
chr7	16804999	-	AGR2	AGR2
chr7	16881983	-	AGR3	AGR3
chr1	1020119	+	AGRN	AGRN
chr16	67483547	-	AGRP	AGRP
chr1	230714122	-	AGT	AGT
chr9	85741954	-	AGTPBP1	AGTPBP1
chr3	148697870	+	AGTR1	AGTR1
chrX	116170743	+	AGTR2	AGTR2
chr1	11736084	+	AGTRAP	AGTRAP
chr2	240868823	+	AGXT	AGXT
chr5	35047949	-	AGXT2	AGXT2
chr1	246931358	-	AHCTF1	AHCTF1
chr2	161507902	-	AHCTF1P1	AHCTF1P1
chr20	34302990	-	AHCY	AHCY
chr1	109984764	+	AHCYL1	AHCYL1
chr7	129225029	+	AHCYL2	AHCYL2
chr1	27603494	-	AHDC1	AHDC1
chr6	135497740	-	AHI1	AHI1
chr11	62545664	-	AHNAK	AHNAK
chr14	104970507	-	AHNAK2	AHNAK2
chr7	17298651	+	AHR	AHR
chr5	321713	+	AHRR	AHRR
chr14	77457866	+	AHSA1	AHSA1
chr2	61177417	+	AHSA2P	AHSA2P
chr3	186613059	+	AHSG	AHSG
chr16	31527899	+	AHSP	AHSP
chr12	8612859	-	AICDA	AICDA
chr1	222712491	-	AIDA	AIDA
chr6	31615233	+	AIF1	AIF1
chr9	131096475	+	AIF1L	AIF1L
chrX	130138040	-	AIFM1	AIFM1
chr10	70132825	-	AIFM2	AIFM2
chr22	20965171	+	AIFM3	AIFM3
chr6	143059362	+	AIG1	AIG1
chr1	159076766	-	AIM2	AIM2
chr4	106315609	+	AIMP1	AIMP1
chr7	6009244	+	AIMP2	AIMP2
chr11	67483025	+	AIP	AIP
chr17	6435121	-	AIPL1	AIPL1
chr21	44285875	+	AIRE	AIRE
chr6	160007664	-	AIRN	AIRN
chr1	4654608	+	AJAP1	AJAP1
chr9	136842477	+	AJM1	AJM1
chr14	22976842	-	AJUBA	AJUBA
chr9	127873480	-	AK1	AK1
chr1	33036883	-	AK2	AK2
chr9	4726227	-	AK3	AK3
chr1	65147548	+	AK4	AK4
chr1	77282018	+	AK5	AK5
chr5	69369520	-	AK6	AK6
chr14	96392127	+	AK7	AK7
chr9	132878284	-	AK8	AK8
chr6	109691212	-	AK9	AK9
chr18	5197257	-	AKAIN1	AKAIN1
chr17	57085245	+	AKAP1	AKAP1
chr17	19977828	-	AKAP10	AKAP10
chr13	42272151	+	AKAP11	AKAP11
chr6	151239966	+	AKAP12	AKAP12
chr15	85380602	+	AKAP13	AKAP13
chrX	119895892	+	AKAP14	AKAP14
chrX	1591603	+	AKAP17A	AKAP17A
chr12	4649047	-	AKAP3	AKAP3
chrX	50200372	-	AKAP4	AKAP4
chr14	64465498	+	AKAP5	AKAP5
chr14	32329297	+	AKAP6	AKAP6
chr6	131135466	+	AKAP7	AKAP7
chr19	15379787	-	AKAP8	AKAP8
chr19	15418988	-	AKAP8L	AKAP8L
chr7	91940861	+	AKAP9	AKAP9
chr11	8911188	+	AKIP1	AKIP1
chr1	38991243	+	AKIRIN1	AKIRIN1
chr6	87702233	-	AKIRIN2	AKIRIN2
chr9	114387982	-	AKNA	AKNA
chr1	108857094	-	AKNAD1	AKNAD1
chr1	45550782	+	AKR1A1	AKR1A1
chr7	134459100	-	AKR1B1	AKR1B1
chr7	134527566	+	AKR1B10	AKR1B10
chr7	134549109	+	AKR1B15	AKR1B15
chr10	4963414	+	AKR1C1	AKR1C1
chr10	5004014	-	AKR1C2	AKR1C2
chr10	5048765	+	AKR1C3	AKR1C3
chr10	5196836	+	AKR1C4	AKR1C4
chr10	4916273	-	AKR1C6P	AKR1C6P
chr10	5185187	-	AKR1C8P	AKR1C8P
chr7	138076458	+	AKR1D1	AKR1D1
chr10	4826176	+	AKR1E2	AKR1E2
chr1	19312144	-	AKR7A2	AKR7A2
chr1	112923349	+	AKR7A2P1	AKR7A2P1
chr1	19288770	-	AKR7A3	AKR7A3
chr1	19274122	-	AKR7L	AKR7L
chr14	104793601	-	AKT1	AKT1
chr19	49876249	-	AKT1S1	AKT1S1
chr19	40265351	-	AKT2	AKT2
chr1	243843282	-	AKT3	AKT3
chr16	53503209	-	AKTIP	AKTIP
chr9	113401120	-	ALAD	ALAD
chr3	52198082	+	ALAS1	ALAS1
chrX	55030977	-	ALAS2	ALAS2
chr4	73404286	+	ALB	ALB
